Операция,Время (мс)
Создание пользователя,2,493
Чтение пользователя,0,202
Обновление пользователя,3,430
Удаление пользователя,91,783
Создание функции,0,704
Чтение функции,0,105
Создание точек,3,998
Чтение точек,26,390
Сложные запросы,80470,798
Время генерации 10,000+ записей,15797,409
